 4.07 -1.44 14.71 9.50 7.52 10.50 14.85 3.90 13.01 15.61 13.13 6.60 4.36 17.76 7.24 5.80 3.88 11.25 6.86 12.00 14.21 18.23 12.94 5.26 5.62 3.22 10.00 5.40 16.65 7.24
 3.28 -2.06 14.10 8.66 7.16 9.85 14.08 3.10 12.17 15.17 12.27 5.95 3.22 17.00 6.70 5.06 3.12 10.86 6.18 11.51 13.74 17.57 12.20 4.81 5.02 2.39 10.07 4.84 16.15 6.52
 2.90 -2.25 13.47 8.10 6.98 9.24 13.22 2.68 11.30 14.52 11.70 5.45 2.56 16.17 6.16 4.57 2.79 10.48 5.51 10.90 13.10 16.44 11.41 4.42 4.54 1.91 9.92 4.33 15.28 5.83
 2.51 -2.27 13.00 7.59 7.08 8.89 12.93 2.18 10.92 14.30 11.10 5.14 1.88 15.77 6.12 4.22 2.54 10.37 5.40 10.84 12.81 15.89 10.99 4.33 4.39 1.59 10.31 4.26 14.98 5.56
 2.09 -2.40 12.58 7.12 7.01 8.53 12.61 1.92 10.56 14.19 10.68 4.87 1.17 15.33 5.91 3.95 2.36 10.37 5.33 10.70 12.60 15.49 10.68 4.16 4.40 1.28 10.52 4.18 14.76 5.29
 1.88 -2.38 12.12 6.58 6.98 8.12 12.39 1.58 10.38 14.02 10.07 4.67 0.69 14.89 5.83 3.76 2.15 10.21 5.37 10.46 12.15 15.07 10.22 3.94 4.42 1.01 10.90 4.20 14.31 5.13
 1.61 -2.51 11.85 6.20 6.90 7.85 12.44 1.28 10.38 14.12 9.77 4.55 0.05 14.70 5.94 3.49 1.99 10.31 5.55 10.57 12.07 14.84 10.09 3.70 4.60 0.81 11.56 4.16 14.29 4.98
 1.46 -2.38 11.43 5.71 6.93 7.59 12.41 1.02 10.28 13.96 9.21 4.36 -0.38 14.23 5.96 3.33 1.91 10.21 5.88 10.45 11.65 14.62 9.67 3.55 4.94 0.66 11.98 4.30 14.04 5.02
 1.57 -2.03 11.27 5.61 7.10 7.54 12.74 1.15 10.58 14.18 9.13 4.61 -0.45 14.04 6.31 3.52 2.20 10.33 6.40 10.79 11.68 14.69 9.72 3.71 5.66 0.94 12.79 4.75 14.14 5.34
 1.67 -1.75 11.10 5.33 7.22 7.49 13.15 1.20 10.99 14.55 8.83 4.89 -0.62 14.00 6.76 3.59 2.43 10.61 7.21 11.06 11.65 15.01 9.80 3.84 6.44 1.17 13.55 5.34 14.31 5.84
